key,creation-date,resolution-date,resolution,type,priority
CLI-184,2009-05-30T13:24:15.000+0000,2009-05-30T13:58:23.000+0000,Fixed,Bug,Major
CLI-183,2009-05-30T02:13:14.000+0000,2009-05-30T02:33:05.000+0000,Fixed,Bug,Major
CLI-182,2009-05-30T01:45:13.000+0000,2009-05-30T02:32:23.000+0000,Fixed,Bug,Major
CLI-181,2009-05-27T08:27:18.000+0000,2009-05-30T13:49:00.000+0000,Fixed,Improvement,Major
CLI-180,2009-05-25T23:16:46.000+0000,2009-05-26T17:57:49.000+0000,Invalid,Bug,Major
CLI-178,2009-03-27T19:44:52.000+0000,2009-03-28T00:30:06.000+0000,Invalid,Bug,Major
CLI-177,2009-03-12T23:02:56.000+0000,2009-03-16T07:31:23.000+0000,Fixed,Bug,Minor
CLI-176,2009-03-04T19:08:53.000+0000,2009-05-25T17:22:29.000+0000,Duplicate,Bug,Major
CLI-175,2009-02-28T21:00:47.000+0000,2009-02-28T21:56:01.000+0000,Fixed,Bug,Minor
CLI-174,2009-01-17T09:28:53.000+0000,2009-02-18T05:43:34.000+0000,Won't Fix,Bug,Major
CLI-171,2008-10-14T09:45:31.000+0000,2008-10-14T12:11:36.000+0000,Fixed,Bug,Trivial
CLI-170,2008-09-27T15:16:25.000+0000,2009-01-17T08:24:46.000+0000,Fixed,Improvement,Minor
CLI-169,2008-09-27T14:57:02.000+0000,2010-06-15T14:14:25.000+0000,Fixed,Improvement,Minor
CLI-167,2008-07-30T16:23:20.000+0000,2009-05-30T13:53:52.000+0000,Fixed,Improvement,Minor
CLI-166,2008-07-28T15:31:22.000+0000,2009-05-28T16:23:16.000+0000,Won't Fix,New Feature,Major
CLI-165,2008-07-28T09:23:08.000+0000,2008-07-28T09:47:50.000+0000,Fixed,Bug,Major
CLI-164,2008-07-28T08:19:04.000+0000,2008-07-28T08:44:03.000+0000,Fixed,Bug,Major
CLI-163,2008-07-27T23:17:01.000+0000,2008-07-27T23:39:10.000+0000,Fixed,Bug,Major
CLI-162,2008-07-25T12:21:23.000+0000,2009-02-20T05:01:36.000+0000,Fixed,Bug,Major
