_project,afferent-couplings,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,efferent-couplings,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,line_coverage,lines,lines_to_cover,major_violations,minor_violations,missing_package_info,missing_package_info_count,ncloc,ncloc_language_distribution,new_blocker_violations,new_bugs,new_code_smells,new_critical_violations,new_info_violations,new_maintainability_rating,new_major_violations,new_minor_violations,new_reliability_rating,new_reliability_remediation_effort,new_security_rating,new_security_remediation_effort,new_sqale_debt_ratio,new_technical_debt,new_violations,new_vulnerabilities,number-of-classes-and-interfaces,open_issues,package,package-dependency-cycles,package_count,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,sqale_debt_ratio,sqale_index,sqale_rating,statements,uncovered_lines,violations,vulnerabilities,wont_fix_issues,code_smells:antisingleton,code_smells:baseclass_abstract,code_smells:class_data_private,code_smells:complex_class,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:spaghetti_code,code_smells:speculative_generality,code_smells:swiss_army_knife,common-java:DuplicatedBlocks,jdepend:afferent-couplings,squid:AssignmentInSubExpressionCheck,squid:ClassCyclomaticComplexity,squid:ClassVariableVisibilityCheck,squid:CommentedOutCodeLine,squid:EmptyStatementUsageCheck,squid:ForLoopCounterChangedCheck,squid:HiddenFieldCheck,squid:LabelsShouldNotBeUsedCheck,squid:MethodCyclomaticComplexity,squid:MissingDeprecatedCheck,squid:ModifiersOrderCheck,squid:ObjectFinalizeCheck,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,squid:ObjectFinalizeOverridenCheck,squid:RedundantThrowsDeclarationCheck,squid:RightCurlyBraceStartLineCheck,squid:S00100,squid:S00101,squid:S00105,squid:S00107,squid:S00108,squid:S00112,squid:S00114,squid:S00115,squid:S00116,squid:S00117,squid:S00119,squid:S00120,squid:S00122,squid:S106,squid:S1065,squid:S1066,squid:S1067,squid:S1068,squid:S1118,squid:S1125,squid:S1126,squid:S1132,squid:S1133,squid:S1134,squid:S1135,squid:S1141,squid:S1143,squid:S1145,squid:S1147,squid:S1148,squid:S1149,squid:S1150,squid:S1151,squid:S1153,squid:S1155,squid:S1157,squid:S1158,squid:S1160,squid:S1161,squid:S1163,squid:S1165,squid:S1166,squid:S1168,squid:S1170,squid:S1171,squid:S1172,squid:S1174,squid:S1175,squid:S1181,squid:S1182,squid:S1185,squid:S1186,squid:S1188,squid:S1190,squid:S1191,squid:S1192,squid:S1193,squid:S1194,squid:S1195,squid:S1197,squid:S1199,squid:S1201,squid:S1206,squid:S1210,squid:S1213,squid:S1214,squid:S1215,squid:S1217,squid:S1219,squid:S1220,squid:S1221,squid:S1223,squid:S1226,squid:S1244,squid:S128,squid:S1301,squid:S1312,squid:S1313,squid:S1314,squid:S1319,squid:S134,squid:S135,squid:S1444,squid:S1452,squid:S1479,squid:S1481,squid:S1488,squid:S1596,squid:S1598,squid:S1700,squid:S1764,squid:S1850,squid:S1860,squid:S1862,squid:S1872,squid:S1905,squid:S1948,squid:S1994,squid:S2055,squid:S2061,squid:S2065,squid:S2066,squid:S2068,squid:S2077,squid:S2094,squid:S2109,squid:S2110,squid:S2111,squid:S2114,squid:S2116,squid:S2118,squid:S2123,squid:S2130,squid:S2131,squid:S2133,squid:S2134,squid:S2151,squid:S2153,squid:S2157,squid:S2160,squid:S2165,squid:S2166,squid:S2175,squid:S2176,squid:S2178,squid:S2183,squid:S2184,squid:S2200,squid:S2225,squid:S2232,squid:S2236,squid:S2250,squid:S2251,squid:S2252,squid:S2272,squid:S2273,squid:S2274,squid:S2275,squid:S2276,squid:S2326,squid:S2386,squid:S2388,squid:S2437,squid:S2438,squid:S2440,squid:S2447,squid:S888,squid:SwitchLastCaseIsDefaultCheck,squid:UnusedPrivateMethod,squid:UselessImportCheck,squid:UselessParenthesesCheck
QC:colt,0,ERROR,31,391,33.1,299,7046,9792,32124,47.2,9887,9887,9360,0,0.0,406,1077570,24,509,95,8484,10.0,0,0,0,33.3,0=91;5=29;10=46;20=28;30=35;60=38;90=30,297,2.5,1=1923;2=849;4=355;6=140;8=64;10=41;12=100,3769,17,0.0,84886,25168,2893,4105,24,24,35919,java=35919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,7452,24,0,24,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"31";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"7452";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2533,0,4.0,170,4.5,48609,1.0,23475,25168,7452,15,0,22,1,6,17,0,14,50,18,0,0,2,5,0,0,95,0,53,1,11,818,14,119,7,0,114,4,95,0,0,1,39,1,28,0,242,33,10,21,0,149,68,718,0,0,2367,543,0,26,32,0,0,0,0,53,4,0,13,1,0,1,0,2,60,0,4,0,0,0,0,0,20,0,0,76,4,4,0,16,1,0,0,17,4,5,5,2,0,97,0,0,0,227,7,2,31,0,10,2,7,0,0,0,0,0,257,302,1,1,0,0,0,0,180,16,2,0,0,105,13,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,3,0,0,0,0,0,5,0,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,9
QC:columba,0,ERROR,5,63,9.1,1241,6685,8470,30731,29.2,11237,11237,11064,0,0.0,788,2236020,238,268,134,6065,4.0,0,0,0,9.6,0=552;5=276;10=200;20=60;30=68;60=9;90=5,1170,1.6,1=4308;2=1161;4=367;6=132;8=71;10=31;12=40,6784,170,0.0,150225,43084,3919,2148,238,238,74534,java=74534,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,7030,238,0,238,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"5";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"7030";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1510,0,4.0,3255,4.8,106468,1.0,33606,43084,7030,282,0,29,0,24,169,0,12,253,201,0,0,0,0,0,0,134,0,5,0,38,775,8,8,49,0,56,4,120,0,0,1,87,4,10,17,821,0,106,124,0,7,43,27,0,0,77,62,0,25,3,208,59,86,30,383,4,28,166,10,0,0,7,201,200,0,46,0,41,2,15,1,243,0,1,481,14,13,0,23,0,0,2,7,7,188,4,0,3,390,3,0,0,3,99,1,3,0,30,4,1,1,0,8,0,0,53,1,1,18,2,2,1,9,103,9,17,0,0,138,92,0,0,3,0,0,0,0,0,18,41,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,37,16,0,0,0,2,0,0,0,5,0,2,4,0,5,0,0,0,0,4,0,0,1,0,2,0,0,0,17,0,0,1,0,0,0,38,8,57,0
QC:compiere,0,ERROR,24,353,31.2,2600,67415,67346,161360,28.7,81052,81052,80743,0,0.0,1963,12019710,79,6933,1265,133461,18.3,0,0,0,32.3,0=357;5=397;10=574;20=390;30=454;60=153;90=183,2508,2.2,1=24274;2=8408;4=1759;6=773;8=394;10=309;12=844,37156,152,0.0,730203,232732,14966,51487,79,79,400657,java=400657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,68592,79,0,79,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"24";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"68592";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,3905,0,4.0,9745,4.9,591960,1.0,184318,232732,68592,824,0,734,2,81,412,2,27,516,415,6,0,1,5,1,0,1265,0,0,35,584,2611,319,59,8,3,979,5,867,0,0,3,44,6,470,931,1907,77,355,213,0,5843,3965,10000,1,0,4350,608,0,163,127,14,62,86,92,1680,17,10,135,63,0,14,24,116,1307,0,13,14,142,7,0,0,7,0,2,1342,127,6,98,137,0,0,13,5,48,189,12,0,11,2651,6,0,0,66,17,2,10,4,10000,10,3,1,0,0,0,0,413,43,0,0,18,13,10,246,1253,124,51,2,0,8,143,0,1,1,1,0,1,0,1,6,73,0,1,0,4,0,28,3,0,0,0,158,0,2,1,0,7,35,0,0,0,4,1,1,0,0,0,3,16,0,26,0,0,0,0,52,0,1,0,0,0,0,1,0,29,1,0,0,0,6,0,5,5,0,3
QC:derby,0,ERROR,345,1350,32.2,3157,60195,136599,248962,27.0,101792,101792,100979,0,0.0,4151,20143830,223,6599,581,120423,9.9,0,0,0,34.6,0=855;5=459;10=568;20=325;30=344;60=167;90=221,2939,2.3,1=22719;2=8926;4=2830;6=1276;8=703;10=406;12=1069,43262,254,0.0,1220239,436173,26550,32494,223,223,671461,java=671461,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,63794,223,0,223,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"345";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"63794";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,6148,0,4.0,34260,3.6,725130,1.0,300554,436173,63794,2249,0,98,11,163,542,0,158,604,303,6,0,9,16,6,0,581,0,278,68,941,1964,377,103,151,143,1248,73,2857,0,0,14,968,209,2593,258,1896,457,317,1268,8,742,1456,3434,0,949,3931,2172,67,1110,233,196,137,236,624,1077,74,77,180,197,21,807,64,241,1316,7,1228,1,76,49,45,54,312,19,85,2348,116,34,2,1394,0,0,281,2,44,403,66,4,6,5051,41,5,0,485,1127,4,34,6,2213,136,21,3,6,19,0,1,1042,74,43,347,12,18,76,47,1767,258,276,4,41,1021,212,9,0,13,7,0,7,1,14,121,10,0,0,0,19,0,135,552,1,0,0,78,0,7,1,0,88,127,6,0,0,6,9,7,0,8,0,14,2,71,119,12,40,12,2,18,0,0,0,0,3,0,1,0,86,1,0,0,2,4,0,242,153,2720,71
QC:displaytag,0,ERROR,9,11,9.4,320,837,2215,6841,25.0,3002,3002,2985,0,0.0,78,614940,32,138,81,3523,9.1,0,0,0,9.9,0=183;5=50;10=33;20=14;30=15;60=4;90=4,303,1.7,1=1186;2=295;4=75;6=30;8=17;10=7;12=20,1712,18,0.0,38818,9586,484,264,32,32,20498,java=20498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,853,32,0,32,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"9";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"853";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,145,0,4.0,100,4.2,25811,1.0,7382,9586,853,5,0,2,2,0,61,0,0,79,57,0,0,1,0,0,0,81,0,0,0,0,17,0,0,2,1,23,11,7,0,0,0,11,0,2,0,3,1,6,39,0,0,25,14,0,0,15,3,0,7,1,7,0,0,2,7,11,0,7,2,0,0,0,1,49,0,2,0,4,0,1,4,9,0,1,66,3,0,0,2,0,0,8,0,4,0,0,0,0,57,0,0,0,0,0,0,1,3,17,1,0,0,0,0,0,0,6,1,0,0,34,2,0,0,27,2,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,15,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0
QC:drawswf,0,ERROR,1,58,17.3,310,3342,4267,5193,15.8,5366,5366,5334,0,0.0,145,830220,34,167,55,3195,6.8,0,0,0,23.6,0=65;5=46;10=47;20=20;30=29;60=6;90=14,227,2.0,1=1701;2=531;4=112;6=57;8=28;10=25;12=54,2730,11,0.0,46724,16370,1341,1995,34,34,27674,java=27674,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3493,34,0,34,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"1";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"3493";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,639,0,4.0,1085,3.6,29612,1.0,13658,16370,3493,93,0,12,10,7,40,0,2,53,9,0,0,10,0,1,1,55,0,2,4,46,200,6,3,15,0,62,0,16,0,0,0,6,0,14,16,55,53,7,9,0,14,210,458,0,0,934,82,0,6,1,23,6,26,9,31,0,0,11,1,0,7,3,29,71,0,21,0,9,0,0,4,97,0,1,39,3,2,0,35,0,0,0,0,1,33,1,20,1,24,0,0,0,23,5,2,1,0,116,4,0,0,0,2,0,0,123,32,3,3,0,0,0,15,70,7,13,0,2,51,7,0,0,1,0,0,0,0,0,9,14,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,38
QC:eclipse_SDK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC:emma,0,ERROR,51,17,13.4,320,4397,5036,6639,22.3,4290,4290,4270,0,0.0,130,693270,33,130,39,3097,7.8,0,0,0,21.8,0=56;5=48;10=27;20=18;30=32;60=9;90=7,197,2.4,1=931;2=391;4=122;6=53;8=31;10=18;12=52,1805,326,0.0,39639,11764,1117,2838,33,33,23109,java=23109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4462,33,0,33,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"51";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"4462";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,320,0,4.0,530,4.6,31910,1.0,10035,11764,4462,48,0,0,0,19,21,0,2,28,30,0,0,0,0,3,0,39,0,4,2,35,184,9,21,0,4,57,0,25,0,0,0,2,0,24,55,0,1,38,16,0,211,575,254,0,0,631,68,0,21,0,1,15,0,1,1,0,0,326,22,4,0,3,3,70,0,17,0,2,0,0,2,45,4,2,104,4,0,0,0,0,0,47,0,11,4,0,0,1,30,0,0,0,2,154,1,0,3,923,19,0,0,0,2,0,0,29,0,1,5,28,0,0,0,150,6,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0
QC:exoportal,0,ERROR,53,73,7.9,2162,13021,9967,14483,13.1,17037,17037,17029,0,0.0,926,2881140,413,769,228,8225,5.6,0,39391,0,9.3,0=812;5=450;10=349;20=114;30=97;60=12;90=5,1839,1.4,1=8185;2=1700;4=458;6=181;8=64;10=41;12=49,12383,91,0.0,147963,56024,4753,7712,413,413,96038,java=96038,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,13535,413,0,413,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"53";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"13535";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1095,0,4.0,6045,6.4,183448,2.0,47144,56024,13535,441,0,77,11,44,263,0,41,357,377,1,0,8,7,3,0,228,0,3,0,118,518,15,8,4,0,46,2,1409,0,0,4,369,23,26,6,547,9,192,763,2,108,1775,189,0,70,1535,212,0,23,25,88,55,20,34,94,2,0,89,18,2,0,1,121,175,2,8,1,73,3,0,6,15,2,7,550,36,5,0,53,2,0,32,0,24,556,0,8,6,597,11,0,0,61,16,0,14,0,206,31,0,0,0,0,0,0,130,14,1,4,108,3,0,9,122,4,92,0,0,97,80,5,0,6,0,0,5,0,13,4,17,0,0,0,5,0,8,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,6,12,22,0,0,0,0,2,0,0,0,0,4,0,1,1,0,0,0,0,0,99,0,0,0,0,1,0,7,5,195,0
QC:findbugs,119,ERROR,15,78,20.4,1353,12283,26951,20755,15.8,27559,27559,26598,0,0.0,523,3327960,68,123,72,2628,1.4,236,0,0,25.5,0=368;5=150;10=214;20=107;30=122;60=59;90=60,1080,2.8,1=5467;2=1970;4=693;6=294;8=179;10=116;12=312,9628,226,0.0,186967,66886,6800,4932,50,50,110932,java=110932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,529,12496,68,1549,68,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"15";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"12496";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,520,0,4.0,1475,4.2,138332,1.0,56110,66886,12496,135,0,34,0,14,174,0,25,202,72,1,0,0,6,0,0,72,1,3,15,83,606,21,37,40,18,366,55,134,0,0,1,88,46,0,0,1044,17,31,34,0,23,22,58,105,11,1414,1457,0,71,157,48,50,44,54,1475,82,42,144,16,0,49,19,34,5,0,150,2,33,4,0,23,25,0,0,410,4,0,10,114,0,0,15,1,7,131,35,0,1,229,0,0,0,48,35,0,0,0,1177,16,0,0,1,0,0,0,159,7,2,8,3,0,0,15,614,112,7,22,4,58,37,0,0,7,1,0,0,0,2,2,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,15,0,0,2,1,3,0,0,0,0,15,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,75,25,165,3
QC:fitjava,0,ERROR,6,14,9.2,151,939,958,247,4.4,1384,1384,1383,0,0.0,59,161850,9,91,75,4493,63.4,0,5242,0,13.8,0=32;5=24;10=20;20=8;30=13;60=3;90=0,100,1.9,1=477;2=201;4=26;6=15;8=9;10=4;12=7,741,0,0.0,7082,3216,682,464,9,9,5395,java=5395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1211,9,0,9,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"6";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"1211";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,114,0,4.0,2895,8.2,13334,2.0,2800,3216,1211,258,0,15,1,31,9,0,2,15,8,0,0,0,0,1,0,75,0,0,0,223,14,3,6,2,0,9,0,9,0,0,0,1,0,14,0,27,0,2,33,0,0,68,1,0,0,232,4,0,0,10,0,4,0,0,105,0,0,0,0,0,2,2,0,6,0,0,0,4,2,2,3,20,0,0,13,0,0,0,1,0,0,3,0,0,8,0,0,0,7,0,0,0,59,0,0,3,2,30,0,0,0,0,0,0,0,58,7,0,2,0,0,0,0,4,0,28,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0
QC:fitlibraryforfitnesse,0,ERROR,17,26,7.3,1315,4086,5135,3487,7.0,9646,9646,9493,0,0.0,276,1397640,157,169,102,2714,4.6,0,28685,0,9.2,0=561;5=207;10=166;20=50;30=51;60=14;90=4,1053,1.4,1=4676;2=1040;4=259;6=76;8=30;10=14;12=24,6632,19,0.0,58937,23949,2134,1944,157,157,46588,java=46588,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4390,157,0,157,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"4390";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,320,0,4.0,3115,7.1,98567,2.0,18814,23949,4390,278,0,27,11,75,152,0,59,229,224,2,0,4,3,0,0,102,0,3,1,230,139,0,1,0,0,31,2,35,0,0,0,53,9,46,1,1000,7,0,295,0,14,13,60,8,215,31,76,0,10,12,9,39,2,4,163,2,0,17,4,0,0,13,16,34,0,15,0,2,9,0,12,0,0,1,196,10,3,5,16,0,0,6,0,1,5,5,0,0,146,0,0,0,19,0,0,11,1,38,0,0,0,0,55,0,0,1,8,2,0,29,0,0,26,62,5,29,2,0,3,10,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,5,55,0,0,0,1,2,2,0,39,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,10,9,0,0
QC:freecol,0,ERROR,11,92,24.5,914,5779,23719,28560,21.2,22363,22363,21635,0,0.0,534,3192360,51,233,81,4627,2.4,0,0,0,33.7,0=168;5=117;10=149;20=69;30=68;60=38;90=54,663,2.7,1=4724;2=1591;4=598;6=286;8=162;10=101;12=292,7897,340,0.0,190224,69170,3094,1984,51,51,106412,java=106412,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,5963,51,0,51,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"11";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"5963";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1315,0,4.0,1180,2.5,78487,1.0,56399,69170,5963,92,0,6,0,6,123,0,5,159,41,0,0,0,0,0,0,81,0,2,19,48,178,48,5,91,14,337,0,23,0,0,0,30,68,5,0,70,9,69,42,0,94,36,75,0,0,503,106,0,63,89,96,30,8,16,167,0,10,340,25,5,0,20,18,21,0,134,14,59,0,0,1,107,0,0,391,10,15,0,68,0,0,1,1,8,39,23,0,0,346,0,0,0,6,14,2,3,5,84,4,2,0,0,0,0,0,83,22,20,18,239,4,0,6,515,73,14,0,0,116,14,0,0,2,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,1,1,0,0,0,0,0,0,0,25,0,1,0,2,7,0,0,2,0,1,0,0,0,8,23,0,0,0,0,0,34,5,136,1
